

---------
NEXT RUN
---------
 5200: 	G_loss: 10.9342	D_loss: 0.0905	Cycle_loss: 0.6426	Identity_loss:0.5943	A2B_loss: 0.5428	B2A_loss: 0.9944	d_A_loss: 0.0000	d_B_loss: 0.1811
 5300: 	G_loss: 10.0041	D_loss: 0.0887	Cycle_loss: 0.5701	Identity_loss:0.5263	A2B_loss: 0.6770	B2A_loss: 0.9946	d_A_loss: 0.0000	d_B_loss: 0.1775
 5400: 	G_loss: 10.6596	D_loss: 0.0539	Cycle_loss: 0.6244	Identity_loss:0.5684	A2B_loss: 0.5824	B2A_loss: 0.9914	d_A_loss: 0.0000	d_B_loss: 0.1079
 5500: 	G_loss: 10.7898	D_loss: 0.0904	Cycle_loss: 0.6288	Identity_loss:0.5779	A2B_loss: 0.6181	B2A_loss: 0.9939	d_A_loss: 0.0000	d_B_loss: 0.1807
 5600: 	G_loss: 10.0126	D_loss: 0.0897	Cycle_loss: 0.5781	Identity_loss:0.5355	A2B_loss: 0.5589	B2A_loss: 0.9951	d_A_loss: 0.0000	d_B_loss: 0.1794
 5700: 	G_loss: 10.8449	D_loss: 0.0869	Cycle_loss: 0.6349	Identity_loss:0.5845	A2B_loss: 0.5789	B2A_loss: 0.9940	d_A_loss: 0.0000	d_B_loss: 0.1737
 5800: 	G_loss: 10.1311	D_loss: 0.0662	Cycle_loss: 0.5872	Identity_loss:0.5467	A2B_loss: 0.5298	B2A_loss: 0.9954	d_A_loss: 0.0000	d_B_loss: 0.1325
 5900: 	G_loss: 10.6655	D_loss: 0.0660	Cycle_loss: 0.6163	Identity_loss:0.5708	A2B_loss: 0.6530	B2A_loss: 0.9953	d_A_loss: 0.0000	d_B_loss: 0.1319
 6000: 	G_loss: 11.0445	D_loss: 0.0590	Cycle_loss: 0.6475	Identity_loss:0.5958	A2B_loss: 0.5954	B2A_loss: 0.9955	d_A_loss: 0.0000	d_B_loss: 0.1179
 6100: 	G_loss: 10.5328	D_loss: 0.0540	Cycle_loss: 0.6081	Identity_loss:0.5629	A2B_loss: 0.6411	B2A_loss: 0.9957	d_A_loss: 0.0000	d_B_loss: 0.1079
 6200: 	G_loss: 10.1710	D_loss: 0.0620	Cycle_loss: 0.5963	Identity_loss:0.5314	A2B_loss: 0.5561	B2A_loss: 0.9948	d_A_loss: 0.0000	d_B_loss: 0.1241
 6300: 	G_loss: 9.9269	D_loss: 0.0580	Cycle_loss: 0.5791	Identity_loss:0.5132	A2B_loss: 0.5765	B2A_loss: 0.9934	d_A_loss: 0.0000	d_B_loss: 0.1159
 6400: 	G_loss: 10.6791	D_loss: 0.1162	Cycle_loss: 0.6124	Identity_loss:0.5585	A2B_loss: 0.7678	B2A_loss: 0.9944	d_A_loss: 0.0000	d_B_loss: 0.2324
 6500: 	G_loss: 9.1130	D_loss: 0.0512	Cycle_loss: 0.5165	Identity_loss:0.4761	A2B_loss: 0.5704	B2A_loss: 0.9964	d_A_loss: 0.0000	d_B_loss: 0.1023
 6600: 	G_loss: 9.3418	D_loss: 0.0447	Cycle_loss: 0.5334	Identity_loss:0.4803	A2B_loss: 0.6112	B2A_loss: 0.9956	d_A_loss: 0.0000	d_B_loss: 0.0894
 6700: 	G_loss: 9.6845	D_loss: 0.0805	Cycle_loss: 0.5594	Identity_loss:0.4982	A2B_loss: 0.6032	B2A_loss: 0.9961	d_A_loss: 0.0000	d_B_loss: 0.1610
 6800: 	G_loss: 9.8058	D_loss: 0.0598	Cycle_loss: 0.5627	Identity_loss:0.4982	A2B_loss: 0.6914	B2A_loss: 0.9963	d_A_loss: 0.0000	d_B_loss: 0.1196
 6900: 	G_loss: 9.7295	D_loss: 0.0363	Cycle_loss: 0.5465	Identity_loss:0.5108	A2B_loss: 0.7146	B2A_loss: 0.9961	d_A_loss: 0.0000	d_B_loss: 0.0725
 7000: 	G_loss: 9.2728	D_loss: 0.0541	Cycle_loss: 0.5284	Identity_loss:0.4774	A2B_loss: 0.6053	B2A_loss: 0.9969	d_A_loss: 0.0000	d_B_loss: 0.1082
 7100: 	G_loss: 10.4723	D_loss: 0.0783	Cycle_loss: 0.6067	Identity_loss:0.5597	A2B_loss: 0.6099	B2A_loss: 0.9962	d_A_loss: 0.0000	d_B_loss: 0.1566
 7200: 	G_loss: 10.0662	D_loss: 0.0542	Cycle_loss: 0.5885	Identity_loss:0.5317	A2B_loss: 0.5278	B2A_loss: 0.9954	d_A_loss: 0.0000	d_B_loss: 0.1084
 7300: 	G_loss: 10.4248	D_loss: 0.0757	Cycle_loss: 0.5991	Identity_loss:0.5472	A2B_loss: 0.7019	B2A_loss: 0.9962	d_A_loss: 0.0000	d_B_loss: 0.1514
 7400: 	G_loss: 9.5625	D_loss: 0.0574	Cycle_loss: 0.5439	Identity_loss:0.5041	A2B_loss: 0.6065	B2A_loss: 0.9965	d_A_loss: 0.0000	d_B_loss: 0.1149
 7500: 	G_loss: 9.3714	D_loss: 0.0568	Cycle_loss: 0.5399	Identity_loss:0.4937	A2B_loss: 0.5069	B2A_loss: 0.9967	d_A_loss: 0.0000	d_B_loss: 0.1136
 7600: 	G_loss: 10.1833	D_loss: 0.0526	Cycle_loss: 0.5791	Identity_loss:0.5345	A2B_loss: 0.7228	B2A_loss: 0.9974	d_A_loss: 0.0000	d_B_loss: 0.1052
 7700: 	G_loss: 8.6658	D_loss: 0.0454	Cycle_loss: 0.4855	Identity_loss:0.4458	A2B_loss: 0.5842	B2A_loss: 0.9972	d_A_loss: 0.0000	d_B_loss: 0.0907
 7800: 	G_loss: 10.5347	D_loss: 0.0753	Cycle_loss: 0.6180	Identity_loss:0.5415	A2B_loss: 0.6503	B2A_loss: 0.9967	d_A_loss: 0.0000	d_B_loss: 0.1505
 7900: 	G_loss: 9.5314	D_loss: 0.0506	Cycle_loss: 0.5312	Identity_loss:0.4844	A2B_loss: 0.8001	B2A_loss: 0.9972	d_A_loss: 0.0000	d_B_loss: 0.1013
 8000: 	G_loss: 10.2381	D_loss: 0.0753	Cycle_loss: 0.5822	Identity_loss:0.5362	A2B_loss: 0.7376	B2A_loss: 0.9977	d_A_loss: 0.0000	d_B_loss: 0.1506
 8100: 	G_loss: 9.6772	D_loss: 0.0620	Cycle_loss: 0.5510	Identity_loss:0.5063	A2B_loss: 0.6388	B2A_loss: 0.9968	d_A_loss: 0.0000	d_B_loss: 0.1240
 8200: 	G_loss: 10.1518	D_loss: 0.0659	Cycle_loss: 0.5892	Identity_loss:0.5455	A2B_loss: 0.5349	B2A_loss: 0.9976	d_A_loss: 0.0000	d_B_loss: 0.1318
 8300: 	G_loss: 10.5054	D_loss: 0.1035	Cycle_loss: 0.6040	Identity_loss:0.5631	A2B_loss: 0.6524	B2A_loss: 0.9973	d_A_loss: 0.0000	d_B_loss: 0.2069
 8400: 	G_loss: 9.4429	D_loss: 0.0909	Cycle_loss: 0.5445	Identity_loss:0.5030	A2B_loss: 0.4857	B2A_loss: 0.9976	d_A_loss: 0.0000	d_B_loss: 0.1819
 8500: 	G_loss: 10.7469	D_loss: 0.1039	Cycle_loss: 0.6240	Identity_loss:0.5729	A2B_loss: 0.6445	B2A_loss: 0.9979	d_A_loss: 0.0000	d_B_loss: 0.2078
