

---------
NEXT RUN
---------
 8200: 	G_loss: 10.1591	D_loss: 0.0797	Cycle_loss: 5.7623	Identity_loss:2.7051	A2B_loss: 0.6987	B2A_loss: 0.9930	d_A_loss: 0.0000	d_B_loss: 0.1593
 8300: 	G_loss: 10.7338	D_loss: 0.1689	Cycle_loss: 6.1565	Identity_loss:2.8961	A2B_loss: 0.6874	B2A_loss: 0.9938	d_A_loss: 0.0000	d_B_loss: 0.3378
 8400: 	G_loss: 9.6502	D_loss: 0.0617	Cycle_loss: 5.4216	Identity_loss:2.5267	A2B_loss: 0.7084	B2A_loss: 0.9935	d_A_loss: 0.0000	d_B_loss: 0.1235
 8500: 	G_loss: 9.6867	D_loss: 0.0930	Cycle_loss: 5.5278	Identity_loss:2.4978	A2B_loss: 0.6665	B2A_loss: 0.9945	d_A_loss: 0.0000	d_B_loss: 0.1860
 8600: 	G_loss: 9.0866	D_loss: 0.0963	Cycle_loss: 5.0766	Identity_loss:2.2936	A2B_loss: 0.7223	B2A_loss: 0.9940	d_A_loss: 0.0000	d_B_loss: 0.1925
 8700: 	G_loss: 10.0171	D_loss: 0.0961	Cycle_loss: 5.6486	Identity_loss:2.6524	A2B_loss: 0.7204	B2A_loss: 0.9957	d_A_loss: 0.0000	d_B_loss: 0.1921
 8800: 	G_loss: 9.0284	D_loss: 0.1087	Cycle_loss: 5.0629	Identity_loss:2.3675	A2B_loss: 0.6024	B2A_loss: 0.9956	d_A_loss: 0.0000	d_B_loss: 0.2175
 8900: 	G_loss: 8.9177	D_loss: 0.0961	Cycle_loss: 4.9558	Identity_loss:2.2859	A2B_loss: 0.6817	B2A_loss: 0.9943	d_A_loss: 0.0000	d_B_loss: 0.1921
 9000: 	G_loss: 9.4062	D_loss: 0.1634	Cycle_loss: 5.3027	Identity_loss:2.4484	A2B_loss: 0.6596	B2A_loss: 0.9955	d_A_loss: 0.0000	d_B_loss: 0.3267
 9100: 	G_loss: 10.0903	D_loss: 0.0665	Cycle_loss: 5.6649	Identity_loss:2.6357	A2B_loss: 0.7937	B2A_loss: 0.9960	d_A_loss: 0.0000	d_B_loss: 0.1330
 9200: 	G_loss: 9.5629	D_loss: 0.0738	Cycle_loss: 5.3863	Identity_loss:2.4527	A2B_loss: 0.7280	B2A_loss: 0.9958	d_A_loss: 0.0000	d_B_loss: 0.1476
 9300: 	G_loss: 10.1583	D_loss: 0.1747	Cycle_loss: 5.8546	Identity_loss:2.7277	A2B_loss: 0.5796	B2A_loss: 0.9963	d_A_loss: 0.0000	d_B_loss: 0.3494
 9400: 	G_loss: 9.2413	D_loss: 0.0646	Cycle_loss: 5.1795	Identity_loss:2.3281	A2B_loss: 0.7384	B2A_loss: 0.9953	d_A_loss: 0.0000	d_B_loss: 0.1291
 9500: 	G_loss: 8.8601	D_loss: 0.1015	Cycle_loss: 4.9070	Identity_loss:2.2291	A2B_loss: 0.7279	B2A_loss: 0.9961	d_A_loss: 0.0000	d_B_loss: 0.2029
 9600: 	G_loss: 9.3208	D_loss: 0.1069	Cycle_loss: 5.2768	Identity_loss:2.4055	A2B_loss: 0.6422	B2A_loss: 0.9963	d_A_loss: 0.0000	d_B_loss: 0.2138
 9700: 	G_loss: 9.7026	D_loss: 0.0944	Cycle_loss: 5.5274	Identity_loss:2.5013	A2B_loss: 0.6781	B2A_loss: 0.9958	d_A_loss: 0.0000	d_B_loss: 0.1887
 9800: 	G_loss: 10.5056	D_loss: 0.0892	Cycle_loss: 6.0601	Identity_loss:2.7721	A2B_loss: 0.6767	B2A_loss: 0.9966	d_A_loss: 0.0000	d_B_loss: 0.1783
 9900: 	G_loss: 10.1526	D_loss: 0.1292	Cycle_loss: 5.7918	Identity_loss:2.6791	A2B_loss: 0.6848	B2A_loss: 0.9969	d_A_loss: 0.0000	d_B_loss: 0.2584
10000: 	G_loss: 9.9218	D_loss: 0.0214	Cycle_loss: 5.5129	Identity_loss:2.5747	A2B_loss: 0.8374	B2A_loss: 0.9968	d_A_loss: 0.0000	d_B_loss: 0.0428
10100: 	G_loss: 6.8127	D_loss: 0.1399	Cycle_loss: 5.1235	Identity_loss:0.0000	A2B_loss: 0.6925	B2A_loss: 0.9967	d_A_loss: 0.0000	d_B_loss: 0.2798
10200: 	G_loss: 6.5702	D_loss: 0.0971	Cycle_loss: 4.8972	Identity_loss:0.0000	A2B_loss: 0.6765	B2A_loss: 0.9964	d_A_loss: 0.0000	d_B_loss: 0.1942
10300: 	G_loss: 6.8292	D_loss: 0.1335	Cycle_loss: 5.1929	Identity_loss:0.0000	A2B_loss: 0.6392	B2A_loss: 0.9971	d_A_loss: 0.0000	d_B_loss: 0.2669
